link;price;;;
https://kaspi.kz/shop/p/bars-20-2021-13-seryi-101674395/?c=750000000;36500;;;
https://kaspi.kz/shop/p/trinx-m136-26-2021-19-chernyi-104464034/?c=750000000;130000;;;
https://kaspi.kz/shop/p/trinx-m1000-elite-27-5-2020-21-seryi-100487126/?c=750000000;162000;;;
https://kaspi.kz/shop/p/trinx-m1000-elite-27-5-2020-21-chernyi-zelenyi-101078472/?c=750000000;162000;;;
https://kaspi.kz/shop/p/trinx-m500-26-2021-21-chernyi-krasnyi-101236344/?c=750000000;120000;;;
https://kaspi.kz/shop/p/trinx-m500-26-2021-17-goluboi-101343501/?c=750000000;120000;;;
https://kaspi.kz/shop/p/trinx-m136-21-26-2021-21-chernyi-101783261/?c=750000000;120000;;;
https://kaspi.kz/shop/p/bars-printsessa-222-18-2020-18-rozovyi-101938526/?c=750000000;35000;;;
https://kaspi.kz/shop/p/trinx-m114-24-2021-13-chernyi-104392061/?c=750000000;105000;;;
https://kaspi.kz/shop/p/trinx-m136-26-2021-17-chernyi-104464032/?c=750000000;120000;;;
https://kaspi.kz/shop/p/trinx-m136-26-2021-21-seryi-104464035/?c=750000000;120000;;;
https://kaspi.kz/shop/p/trinx-m500-26-2021-19-sinii-104464057/?c=750000000;122000;;;
https://kaspi.kz/shop/p/trinx-m500-26-2021-21-chernyi-104464069/?c=750000000;122000;;;
https://kaspi.kz/shop/p/trinx-m137-27-5-2021-16-5-chernyi-104464168/?c=750000000;142000;;;
https://kaspi.kz/shop/p/trinx-m500-26-2021-21-djuim-chernyi-104475200/?c=750000000;122000;;;
https://kaspi.kz/shop/p/focus-f-63-26-2022-xxs-chernyi-104493602/?c=750000000;62000;;;
https://kaspi.kz/shop/p/trinx-m1000-29-2021-19-mul-tikolor-104498475/?c=750000000;165000;;;
https://kaspi.kz/shop/p/trinx-m134-24-2021-13-seryi-104513441/?c=750000000;102000;;;
